Hora,Precio,Volumen
25-02-2019 15:26:24,131.2,152.0
25-02-2019 15:29:54,130.65,300.0
25-02-2019 15:31:27,131.0,3.0
25-02-2019 15:31:27,131.0,3.0
25-02-2019 15:33:20,131.0,45.0
25-02-2019 15:33:20,131.0,951.0
25-02-2019 15:34:08,130.65,35.0
25-02-2019 15:34:59,130.65,335.0
25-02-2019 15:35:00,130.65,400.0
25-02-2019 15:35:38,130.65,1500.0
25-02-2019 15:36:58,130.65,400.0
25-02-2019 15:37:36,130.65,81.0
25-02-2019 15:41:11,130.65,19.0
25-02-2019 15:42:29,130.65,30.0
25-02-2019 15:42:35,130.65,11.0
25-02-2019 15:47:01,130.7,1000.0
25-02-2019 15:49:50,130.65,1111.0
25-02-2019 15:49:50,130.65,1111.0
25-02-2019 15:49:50,130.65,989.0
25-02-2019 15:49:50,130.7,1000.0
25-02-2019 15:52:54,131.0,100.0
25-02-2019 15:55:31,131.0,5100.0
25-02-2019 15:55:31,131.0,500.0
25-02-2019 15:55:31,131.0,100.0
25-02-2019 15:57:28,131.0,100.0
25-02-2019 15:57:28,131.0,610.0
25-02-2019 15:57:28,131.0,100.0
25-02-2019 15:57:29,131.1,1000.0
25-02-2019 15:57:40,131.1,140.0
25-02-2019 15:57:58,131.0,3.0
25-02-2019 15:58:01,131.0,2000.0
25-02-2019 15:58:11,131.1,1000.0
25-02-2019 16:01:29,131.1,3.0
25-02-2019 16:01:43,131.1,54.0
25-02-2019 16:03:52,131.2,20.0
25-02-2019 16:03:52,131.15,50.0
25-02-2019 16:06:34,131.2,480.0
25-02-2019 16:07:13,131.35,151.0
25-02-2019 16:07:18,131.2,520.0
25-02-2019 16:09:10,131.2,580.0
25-02-2019 16:09:51,131.2,78.0
25-02-2019 16:11:44,131.25,1000.0
25-02-2019 16:12:32,131.35,600.0
25-02-2019 16:13:33,131.35,4249.0
25-02-2019 16:13:34,131.4,10000.0
25-02-2019 16:14:28,131.25,43.0
25-02-2019 16:14:28,131.3,7.0
25-02-2019 16:14:48,131.45,35.0
25-02-2019 16:16:17,131.45,8.0
25-02-2019 16:16:58,131.45,50.0
25-02-2019 16:17:47,131.45,3093.0
25-02-2019 16:17:47,131.45,407.0
25-02-2019 16:19:01,131.4,200.0
25-02-2019 16:19:47,131.4,4800.0
25-02-2019 16:20:09,131.3,156.0
25-02-2019 16:20:49,131.3,140.0
25-02-2019 16:21:01,131.3,269.0
25-02-2019 16:22:15,131.4,100.0
25-02-2019 16:23:51,131.3,200.0
25-02-2019 16:24:32,131.4,10000.0
25-02-2019 16:24:32,131.4,200.0
25-02-2019 16:24:51,131.25,938.0
25-02-2019 16:24:51,131.3,577.0
25-02-2019 16:25:12,131.25,1000.0
25-02-2019 16:25:27,131.2,5000.0
25-02-2019 16:25:27,131.25,860.0
25-02-2019 16:25:28,131.2,43.0
25-02-2019 16:26:11,131.2,97.0
25-02-2019 16:27:45,131.35,51.0
25-02-2019 16:30:18,131.3,4000.0
25-02-2019 16:30:20,131.35,377.0
25-02-2019 16:31:31,131.35,1505.0
25-02-2019 16:32:44,131.35,1.0
25-02-2019 16:36:29,131.45,6907.0
25-02-2019 16:36:29,131.4,1000.0
25-02-2019 16:36:29,131.35,296.0
25-02-2019 16:36:41,131.45,1700.0
25-02-2019 16:37:27,131.5,588.0
25-02-2019 16:37:29,131.3,3000.0
25-02-2019 16:37:29,131.3,3000.0
25-02-2019 16:37:52,131.3,3000.0
25-02-2019 16:38:49,131.45,770.0
25-02-2019 16:38:49,131.45,770.0
25-02-2019 16:40:52,131.25,8.0
25-02-2019 16:42:36,131.25,1400.0
25-02-2019 16:44:03,131.25,1500.0
25-02-2019 16:44:27,131.4,500.0
25-02-2019 16:44:32,131.4,1490.0
25-02-2019 16:45:19,131.5,6868.0
25-02-2019 16:45:19,131.5,412.0
25-02-2019 16:45:19,131.45,230.0
25-02-2019 16:46:49,131.5,3657.0
25-02-2019 16:46:49,131.45,525.0
25-02-2019 16:46:49,131.45,755.0
25-02-2019 16:46:52,131.5,13.0
25-02-2019 16:48:38,131.5,5050.0
25-02-2019 16:49:32,131.5,10000.0
25-02-2019 16:52:42,131.5,1000.0
25-02-2019 16:52:45,131.5,7000.0
25-02-2019 16:55:14,131.5,5000.0
25-02-2019 16:55:49,131.5,1000.0
